name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Variety Pack assorted breakfast cereals sachets 8 pack,https://www.coles.com.au/product/kellogg's-variety-pack-assorted-breakfast-cereals-sachets-8-pack-275g-5203956,https://productimages.coles.com.au/productimages/5/5203956.jpg,8.5,0.275,30.9
Gluten Free Paleo Granola,https://www.coles.com.au/product/farmer-jo-gluten-free-paleo-granola-300g-3758042,https://productimages.coles.com.au/productimages/3/3758042.jpg,10,0.3,33.3,0.05,2360,17.9,44.9,12.1,18.1,12.3,99
Gluten Free Keto Granola,https://www.coles.com.au/product/farmer-jo-gluten-free-keto-granola-300g-4308551,https://productimages.coles.com.au/productimages/4/4308551.jpg,10,0.3,33.3,0.05,2640,17.8,54.1,14.9,10.1,20.2,63
Granola Grain Free Almond Macadamia Cashew & Pecan,https://www.coles.com.au/product/carman's-granola-grain-free-almond-macadamia-cashew-and-pecan-400g-5297280,https://productimages.coles.com.au/productimages/5/5297280.jpg,16,0.4,40,0.045,2480,16.8,52.5,12.3,10.4,8.3,49
Granola Grain Free Raspberry Blueberry & Cranberry ,https://www.coles.com.au/product/carman's-granola-grain-free-raspberry-blueberry-and-cranberry-400g-5297326,https://productimages.coles.com.au/productimages/5/5297326.jpg,16,0.4,40
Skinless Cocktail Frankfurt's,https://www.coles.com.au/product/don-skinless-cocktail-frankfurt's-approx.-50g-each-5186449,https://productimages.coles.com.au/productimages/5/5186449.jpg,0.55,0.05,11
RSPCA Approved Chicken Drumsticks,https://www.coles.com.au/product/coles-deli-rspca-approved-chicken-drumsticks-approx.-160g-2271643,https://productimages.coles.com.au/productimages/2/2271643.jpg,0.64,0.16,4,1200,507.2,17.4,4.6,1.6,2,,92
Skinless Thin Frankfurt's,https://www.coles.com.au/product/don-skinless-thin-frankfurt's-approx.-100g-each-328739,https://productimages.coles.com.au/productimages/3/328739.jpg,1.1,0.1,11
Middle Bacon Rind On,https://www.coles.com.au/product/primo-middle-bacon-rind-on-approx.-100g-4304255,https://productimages.coles.com.au/productimages/4/4304255.jpg,1.28,0.1,12.8,0.05,1030,15.1,20.4,8.2,1.2,1,1030
Traditional Bacon Pieces,https://www.coles.com.au/product/primo-traditional-bacon-pieces-approx.-100g-4712863,https://productimages.coles.com.au/productimages/4/4712863.jpg,1.3,0.1,13
