name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Tomato & Roasted Peppers Soup,https://www.coles.com.au/product/rosella-tomato-and-roasted-peppers-soup-390g-4876066,https://productimages.coles.com.au/productimages/4/4876066.jpg,2,0.39,5.1,0.195,225,1,2.6,1,7,3.7,380
Tropical Pineapple Pieces,https://www.coles.com.au/product/golden-circle-tropical-pineapple-pieces-425g-2249804,https://productimages.coles.com.au/productimages/2/2249804.jpg,3.1,0.425,7.29,0.11,235,0.3,0.1,,12.8,12.5,3
Tropical Sliced Pineapple,https://www.coles.com.au/product/golden-circle-tropical-sliced-pineapple-425g-2249815,https://productimages.coles.com.au/productimages/2/2249815.jpg,3.1,0.425,7.29,0.11,235,0.3,0.1,,12.8,12.5,3
Canned Baked Beans Tomato Sauce,https://www.coles.com.au/product/heinz-canned-baked-beans-tomato-sauce-300g-2954941,https://productimages.coles.com.au/productimages/2/2954941.jpg,2.2,0.3,7.33,0.15,300,4.1,0.2,0.1,11.7,4.7,240
Canned Baked Beans English Recipe,https://www.coles.com.au/product/heinz-canned-baked-beans-english-recipe-300g-2954952,https://productimages.coles.com.au/productimages/2/2954952.jpg,2.2,0.3,7.33,0.15,360,5,0.5,,13.1,5.3,480
Canned Baked Beans Ham Sauce,https://www.coles.com.au/product/heinz-canned-baked-beans-ham-sauce-300g-2954974,https://productimages.coles.com.au/productimages/2/2954974.jpg,2.2,0.3,7.33,0.15,370,5,0.9,0.1,12.9,4.8,415
No Added Sugar Baked Beans,https://www.coles.com.au/product/heinz-no-added-sugar-baked-beans-300g-3617255,https://productimages.coles.com.au/productimages/3/3617255.jpg,2.2,0.3,7.33,0.15,300,4.8,0.5,0.1,9.6,1.3,325
Cherries Pitted Morello,https://www.coles.com.au/product/always-fresh-cherries-pitted-morello-680g-9230429,https://productimages.coles.com.au/productimages/9/9230429.jpg,5,0.68,7.35,0.05,326,0.8,0.2,0.1,17.1,15.1,1
Polpa Chopped Organic Tomatoes,https://www.coles.com.au/product/mutti-polpa-chopped-organic-tomatoes-400g-3883871,https://productimages.coles.com.au/productimages/3/3883871.jpg,2.95,0.4,7.38,0.1,104,1.2,1,1,3.9,2.8,8
Baked Beans In Tomato Sauce 3 pack,https://www.coles.com.au/product/heinz-baked-beans-in-tomato-sauce-3-pack-220g-9095844,https://productimages.coles.com.au/productimages/9/9095844.jpg,4.9,0.22,7.42,,,,,,,,
